232207888775651, 318370387690526, 218920194639564 @ -279, -178, 121
165227980148457, 304789055314247, 194130176035439 @ -37, -153, 221
259818188316139, 258249806968455, 283143725974530 @ -331, 11, -51
208842118742787, 274226778445063, 229955964887169 @ -208, -37, 81
186253732166867, 259015639736195, 288861757988016 @ -143, 7, -55
185050729622327, 257850108727861, 182362331171598 @ -83, 49, 339
112994081706446, 187140447299705, 287631204017604 @ 30, 177, -49
203825248434820, 289570070694290, 206831134823643 @ -186, -102, 180
200523624264510, 337611683372540, 230912714388569 @ -178, -174, 86
140013772667619, 333869272566026, 276042397126471 @ 41, -246, -80
201220891500753, 246579075195440, 253784222447291 @ -177, 60, 4
209496379926576, 219548772046463, 234562833911701 @ -210, 195, 62
198286987144049, 274551437688665, 222406013496143 @ -149, -48, 124
172400583486329, 330354738319739, 266962806896199 @ -77, -228, -44
230386170634761, 246499601039901, 224961096906414 @ -441, 209, 111
271362907049164, 252864320622627, 240153691825919 @ -384, 31, 56
223021203052397, 255291235811471, 253275340538529 @ -363, 119, -149
141983353334121, 328922923715121, 211425489061329 @ 23, -218, 147
238101052054964, 235088439115893, 227895957789172 @ -362, 161, 89
121389442167191, 207184586056401, 144738821814439 @ 16, 134, 296
252004875241199, 208273254665859, 314352160140147 @ -314, 145, -138
230944776722246, 310156557226682, 155088794505705 @ -270, -144, 318
196698293285504, 254544724769051, 226370853477660 @ -142, 79, 97
138086026264805, 303851422537211, 263311855507779 @ 2, -116, -9
196235337391244, 242786616555869, 270663465426981 @ -158, 81, -66
274615970701489, 339336930300519, 137410292288591 @ -342, -173, 293
238989681653921, 239107894983911, 186019002760275 @ -275, 59, 199
176568173668566, 286015092283771, 269330834939364 @ -24, -113, -159
200678535382049, 260623655047865, 216338480548107 @ -161, 61, 180
246798539577991, 240140304050045, 246444309510217 @ -300, 60, 43
271498508400441, 235693727478675, 196589983325795 @ -405, 92, 193
193586181822315, 266669422857415, 208230149812989 @ -144, -5, 171
136784456830673, 307881030896303, 270345642822771 @ -31, -107, -5
