390208620113297, 387658594217963, 193982565362539 @ -159, -12, 52
355036790599893, 312445104395459, 168467997917289 @ -3, 316, 150
401732926148707, 373214493660286, 118299994706545 @ -145, 65, 142
420648511422477, 411386139859648, 169115406571609 @ -299, -121, 166
351790537980292, 393717989209348, 200452790602950 @ 120, -151, 131
385100857706287, 406584957673573, 258043531413369 @ -154, -164, -302
354198922055373, 344152181445027, 212788597527175 @ 13, 196, -32
411672501875421, 334321239163020, 241791789399506 @ -323, 295, -199
390963986881807, 372807703632133, 290029547517549 @ -139, 62, -301
325425038278699, 393861405431826, 308204209474103 @ 47, 7, -316
408904589305417, 382986915454783, 232364863629819 @ -332, -25, -145
372760882083647, 401414205535653, 279302686212777 @ -80, -36, -276
333378655149979, 292166485059259, 231162711493599 @ 9, 251, -105
326880735906259, 296630048460515, 252264371097802 @ 47, 276, -167
338657673735801, 368380469420643, 226344525861201 @ 166, 79, -102
389767366985692, 360210707727913, 250433420847429 @ -232, 158, -334
370953601893352, 311622495452713, 175998882578334 @ -72, 302, 103
273326204200381, 464924849593365, 149081033120033 @ 134, -134, 74
330595249803255, 338243685725309, 302133510130081 @ 31, 156, -296
399521852512378, 375535975955106, 236049883831312 @ -136, 61, -113
365976395159161, 345244743983209, 230932464609465 @ -22, 256, -138
348611106945922, 350922815557696, 282403269725901 @ -30, 113, -214
462518010517101, 269862968696667, 309025111805793 @ -311, 328, -306
434430584056654, 297012442141637, 266006011750730 @ -232, 250, -191
271146403678867, 297201697331938, 236851139388024 @ 143, 233, -117
472874834347804, 354269235284885, 309857986327825 @ -298, 106, -274
368387393971139, 371241700449417, 291374907510533 @ -66, 67, -307
354235327525469, 414443321494087, 246101765100881 @ -3, -112, -178
410261366895943, 370804855175509, 233508656537705 @ -337, 62, -152
399440397321954, 291939824540327, 254106360121522 @ -168, 328, -187
327941186258023, 355924318593397, 315947876250009 @ 24, 105, -305
376362058626655, 316059244475044, 245695894521378 @ -93, 273, -169
330613462502692, 368330533539667, 265984934088246 @ 30, 76, -199
356805166886375, 388945525193589, 207218808210457 @ 87, -122, 82
310297760736887, 398498010286557, 149203561964497 @ 115, -18, 146
379008727841351, 337879362972780, 258541488358948 @ -117, 283, -317
462383574964867, 420012633850243, 318360292989039 @ -291, -45, -309
409281834715039, 399226934827285, 188445669431541 @ -299, -110, 131
434951564256663, 429810444134949, 287166262825557 @ -321, -162, -333
327030797572325, 391958901913235, 313690153129287 @ 12, 27, -273
365421608709739, 338258996069155, 183649991737011 @ -59, 165, 31
456590061845027, 347009634803881, 283872849958765 @ -320, 137, -259
