seeds: 945537572 267930121 4451169100 109891619 2118499963 389486761 1286994074 403381622 4661426845 332815647 5048120 407914372 504389492 441148080 3731384342 248287015 2966442959 456126789 3979671357 92235418

seed-to-soil map:
5223661714 1080757596 175958987
2882020256 4503156650 165007420
1801262660 1441010128 173074035
1260883862 1981388926 176046877
0 180126266 167927578
540378798 3422399054 175012212
1080757596 900631330 173435362
5043535448 2882020256 176048931
2701893990 720505064 170249039
3602525320 2701893990 174208640
360252532 1260883862 167853337
4323030384 4863409182 172282171
1441010128 2521767724 170355544
3242272788 2341641458 171848751
3062146522 1801262660 171306441
4863409182 4323030384 179006080
2521767724 0 170254779
2161515192 5043535448 178332729
4142904118 3062146522 171976681
3782651586 540378798 178283290
1621136394 5223661714 167969600
3962777852 2161515192 177021137
4503156650 3602525320 171754765
2341641458 3782651586 170002916
180126266 4683282916 174801718
1981388926 360252532 175650940
3422399054 1621136394 168645720
900631330 4142904118 167444700
720505064 3962777852 177967254
4683282916 3242272788 172118886

soil-to-fertilizer map:
163751151 655004604 152405513
818755755 1965013812 154653307
4748783379 4421281077 154153639
2620018416 1146258057 161942224
5240036832 4912534530 163590007
655004604 1637511510 150677227
327502302 491253453 163113113
3438774171 3111271869 160906945
4912534530 2947520718 154578540
1310009208 4585032228 148934995
2783769567 982506906 160485091
491253453 327502302 151638531
4257529926 3766276473 155358339
2292516114 0 156925171
3275023020 4748783379 160673286
3930027624 1473760359 163644892
4093778775 4257529926 156458004
2947520718 2292516114 162990125
4421281077 818755755 161618774
4585032228 2620018416 156121219
1801262661 2783769567 158469036
1473760359 3438774171 159911900
2456267265 2128764963 160268966
3602525322 4093778775 149738837
982506906 3275023020 153941137
3766276473 1310009208 157300325
5076285681 163751151 147529162
1637511510 1801262661 154671020
1965013812 5076285681 153746356
3111271869 3602525322 154095378
0 5240036832 160781275
2128764963 2456267265 153157465
1146258057 3930027624 160091504

fertilizer-to-water map:
4221709375 2364157250 167064527
168868375 1013210250 161090954
3208499125 3715104250 164107610
2701894000 337736750 167233204
3546235875 4221709375 164190762
4897182875 2026420500 166456040
5066051250 4559446125 167515341
0 2701894000 155613764
3715104250 2195288875 156238052
1857552125 675473500 166753621
844341875 2870762375 157046382
4052841000 3208499125 157604560
4390577750 4052841000 163246094
3883972625 1688683750 162621784
1013210250 1519815375 164735613
1350947000 2533025625 161875340
4728314500 1182078625 164077315
2026420500 5234919625 153805787
1688683750 3546235875 159844401
2195288875 1350947000 159491876
3377367500 3039630750 161207356
337736750 0 159889759
2870762375 4390577750 153686121
506605125 168868375 166968825
2533025625 844341875 156618534
4559446125 3883972625 159848072
1182078625 4897182875 162737123
5234919625 3377367500 154538880
3039630750 4728314500 162674685
1519815375 5066051250 165247135
2364157250 506605125 156997585
675473500 1857552125 164033671

water-to-light map:
4014242518 154393943 141383934
3242272803 463181829 150908461
5249394062 2007121259 141653638
4786212233 5095000119 143560114
4477424347 1852727316 147554814
2161515202 3705454632 139177004
3551060689 2779090974 144072628
2007121259 1698333373 146895748
308787886 4631818290 152538292
4168636461 926363658 139149195
154393943 617575772 151621942
2779090974 1543939430 154006961
4940606176 5249394062 145161727
5095000119 3087878860 141811401
2933484917 4168636461 146658224
1235151544 4014242518 146561226
3859848575 1080757601 148652332
926363658 1389545487 143153042
3396666746 4786212233 150120819
617575772 2933484917 150638091
1698333373 3859848575 152753811
1389545487 4323030404 145951101
4631818290 4477424347 147230593
0 1235151544 150498749
3705454632 2470303088 144648414
3087878860 2624697031 147308582
463181829 3242272803 148509028
1852727316 0 141321144
2470303088 3551060689 140858424
1543939430 308787886 144797676
4323030404 3396666746 151467685
1080757601 4940606176 146215719
771969715 2161515202 152101022
2624697031 2315909145 142971713
2315909145 771969715 145349623

light-to-temperature map:
675473500 0 163283840
506605125 168868375 155439791
168868375 3377367500 167667468
5234919625 2364157250 156614433
3208499125 2701894000 161488746
4728314500 2533025625 155182063
2026420500 1857552125 159496589
4897182875 4559446125 161672089
4052841000 506605125 163936269
3546235875 2026420500 154663766
1350947000 4052841000 152297573
4390577750 1519815375 157410496
1688683750 1182078625 156521270
1519815375 5234919625 162327678
1013210250 2870762375 166638634
844341875 3715104250 162712837
5066051250 4390577750 157287758
2195288875 844341875 152145565
3715104250 4221709375 164397626
2870762375 3039630750 164031548
3377367500 337736750 158892847
2364157250 3208499125 155807347
1182078625 5066051250 160851134
4221709375 4897182875 164956680
3883972625 675473500 155578178
2701894000 4728314500 159844866
4559446125 3883972625 158896327
1857552125 1013210250 154528767
3039630750 1688683750 153831467
2533025625 3546235875 168610071
337736750 1350947000 168332359
0 2195288875 161333569

temperature-to-humidity map:
2161515200 1729212160 195845982
864606080 3026121280 207648246
3242272800 3458424320 204730663
3890727360 1080757600 199452109
648454560 3674575840 203256156
1729212160 3242272800 212317169
1945363680 864606080 200985381
4323030400 4755333440 197848824
1513060640 4971484960 214277791
3026121280 2593818240 209020919
4755333440 648454560 212589287
2593818240 3890727360 212848992
0 2809969760 215869275
1080757600 2161515200 205772552
2377666720 0 211030466
2809969760 216151520 214541350
3458424320 4539181920 208816957
1296909120 2377666720 196316212
4971484960 432303040 196255602
3674575840 1945363680 196393951
4106878880 1296909120 206830469
216151520 4106878880 214209624
432303040 4323030400 213217257
4539181920 5187636480 213401193
5187636480 1513060640 207065099

humidity-to-location map:
4438825844 4245833416 189450684
2508901564 771969712 178195802
3280871276 5017803128 187785439
5403787984 1736931852 188923166
2122916708 3473863704 174824667
1543939424 3280871276 184345171
4824810700 5210795556 180100889
1157954568 4438825844 176109597
2701893992 964962140 183997477
4245833416 3666856132 189861751
2315909136 2894886420 192072075
3473863704 2508901564 179027061
3859848560 2122916708 183428735
1929924280 578977284 191018122
2894886420 385984856 180345071
1350946996 1157954568 181614640
5017803128 2701893992 174844599
4052840988 0 184918257
192992428 3859848560 189430603
3087878848 1350946996 190731749
578977284 4824810700 182318056
3666856132 192992428 190420043
1736931852 3087878848 189769495
385984856 4631818272 175701643
771969712 2315909136 176385321
964962140 4052840988 183098663
5210795556 1543939424 174025328
4631818272 1929924280 177922106
