seeds: 5504270 137759640 2606109396 397503939 2410256146 175283105 3978949062 167705039 3003613335 433272456 143263910 294626127 437890037 130550084 3637134204 198411726 1703473645 309939755 1266250538 437223107

seed-to-soil map:
347579994 2085479964 164142066
1216529979 2606849955 163296402
1042739982 2433059958 173501856
2259269961 3302009943 172080390
3475799940 2259269961 167886570
4344749925 868949985 165168385
868949985 3649589937 168930050
0 1390319976 172981401
2085479964 173789997 158481537
3302009943 3823379934 157639667
2606849955 3128219946 170632860
3128219946 3997169931 163893858
1390319976 4170959928 165708816
1911689967 1042739982 160804016
173789997 2780639952 169067224
1737899970 3475799940 166421597
3823379934 1564109973 165025241
695159988 1911689967 167184718
521369991 347579994 166077001
2780639952 1216529979 158109360
2954429949 4344749925 156732681
3649589937 1737899970 170798040
3997169931 2954429949 168029526
4170959928 521369991 165368484
1564109973 0 165321408
2433059958 695159988 163632119

soil-to-fertilizer map:
188272497 4141994934 172999062
2635814958 2259269964 176682436
2447542461 3388904946 179036048
3577177443 188272497 180618803
1694452473 3765449940 187612464
0 1882724970 184732505
3953722437 2447542461 188111630
2824087455 3200632449 178156437
1506179976 3953722437 183433130
2070997467 4330267431 179221282
376544994 564817491 171469559
1317907479 0 181312981
941362485 2635814958 177428711
4330267431 1129634982 170682859
753089988 3012359952 186450229
3765449940 1506179976 185939440
3200632449 2070997467 177893380
564817491 376544994 185064168
1882724970 941362485 173749706
2259269964 3577177443 171531757
4141994934 2824087455 176431801
1129634982 1694452473 183605280
3388904946 1317907479 171695487
3012359952 753089988 178728351

fertilizer-to-water map:
3895293025 4051104746 147019801
311623442 2181364094 146457478
4051104746 4206916467 154012471
1558117210 1713928931 144735517
3583669583 467435163 155659689
4206916467 623246884 142903709
2804610978 779058605 155669938
2181364094 311623442 140474837
934870326 1402305489 143292134
1402305489 3272046141 155573475
3427857862 934870326 144713041
623246884 3116234420 150261197
1090682047 3427857862 149559320
4362728188 0 151514263
779058605 4362728188 149523430
2337175815 1869740652 142682383
1713928931 1558117210 146354435
3116234420 2492987536 152706887
1869740652 2025552373 142396074
155811721 2804610978 145968169
2960422699 1090682047 141760271
1246493768 3583669583 142012294
2648799257 3895293025 142721788
3272046141 2960422699 147501554
0 155811721 149569801
2492987536 3739481304 141865313
3739481304 2648799257 148086659
2025552373 2337175815 153819009
467435163 1246493768 152141820

water-to-light map:
4081261856 2477908984 140250399
291518704 2623668336 133252719
1166074816 2332149632 140228105
2477908984 291518704 134537586
1457593520 1311834168 141323030
2915187040 4227021208 135082987
3935502504 2186390280 135094519
1603352872 2915187040 132353341
728796760 583037408 141494835
3352465096 1603352872 139745657
2769427688 3060946392 145551799
4227021208 1166074816 132776821
3789743152 728796760 142398004
3643983800 3352465096 132037346
2186390280 3643983800 137397323
874556112 3789743152 131432376
583037408 1894871576 131371737
145759352 2769427688 135385005
437278056 874556112 144611662
2332149632 145759352 132190237
1020315464 3935502504 143453904
3206705744 437278056 131772348
4372780560 1749112224 131439122
1749112224 3206705744 131352698
2623668336 4081261856 140087781
3060946392 0 131942866
1311834168 1457593520 139964194
1894871576 4372780560 144827374
0 3498224448 142790204
3498224448 2040630928 138927915
2040630928 1020315464 134145362

light-to-temperature map:
2085479964 4170959928 346921358
3823379934 1042739982 335949137
3128219946 3475799940 346328114
1737899970 2433059958 315659312
1390319976 695159988 317634115
1042739982 2085479964 315957289
3475799940 347579994 338095480
4170959928 1737899970 333059659
695159988 0 329265262
0 2780639952 324593712
2780639952 3128219946 328353020
2433059958 1390319976 316050872
347579994 3823379934 324092681

temperature-to-humidity map:
3263389948 1757209972 242001594
753089988 2761329956 248273153
2510299960 3263389948 250441474
4267509932 1004119984 250529112
4016479936 4267509932 240230749
2008239968 1255149980 240583967
1255149980 2510299960 246556549
2761329956 502059992 238991389
0 3765449940 237859564
1757209972 1506179976 249985729
3514419944 2259269964 227825327
251029996 4016479936 245596278
3765449940 0 232473537
1506179976 3514419944 246760319
1004119984 753089988 237790311
2259269964 251029996 246427956
3012359952 2008239968 237623674
502059992 3012359952 245884681

humidity-to-location map:
1402305489 3739481304 147522697
1869740652 2492987536 148634733
4518539909 467435163 149433439
4362728188 2025552373 151577248
2648799257 2804610978 145970759
3427857862 1246493768 154143483
3116234420 779058605 153823278
2181364094 2337175815 147401647
1713928931 2648799257 149367444
1246493768 2181364094 145473341
2804610978 4051104746 146607198
1558117210 0 145948114
3739481304 3116234420 152447233
4206916467 1869740652 150003715
934870326 3272046141 154434929
3272046141 1713928931 153157879
3583669583 4362728188 144640447
1090682047 155811721 140431162
4051104746 1090682047 149843254
3895293025 3583669583 148126984
2960422699 311623442 148033511
2337175815 4206916467 146776825
155811721 1558117210 150920624
623246884 3895293025 148515996
311623442 934870326 143359954
2025552373 1402305489 147435970
2492987536 2960422699 148628323
467435163 3427857862 152638967
779058605 623246884 149595645
