Card   1:  4 47 99 22 78 50 12 93 59 76 | 55 93 11 46 12 22 16 58 87 50 37 47 76 79 38 84 10  4 59 99 35 23  9 78 43
Card   2: 83 37 89 77 32 19 33 95 94 91 | 72 52 35 95  3 98 45 94 32 19  6 83 65 55  9 88 79 67 13  4 14 36 86 25 22
Card   3: 56 67 77 21 18 33 83 66  7 23 | 23 73 46 45 33 81 66 79 48 34 21 17 67 88 83 43 86  7 77 35 10 57 47 40 18
Card   4: 33 49 21 36 90 19 26 11 13 74 | 79 68 92 51  8 57 97 26 66 64 91 21 37 62 81 93 33  9 74 71 12 13 90 11 50
Card   5:  2 46 40 35 64 79 49 43 12  4 | 99 35 49 10 46 25 79 14 31 61 96 92 13 40  4 66 12  1 63  5  2 39 57 43 82
Card   6: 87 20 71 31 62  4 42 38 53  5 | 44  6  3  5 40 62 20 81 17 66 24 87  1 89 33 19 36 61 93 30 26 53 56 82 25
Card   7:  1 69 47 22 52 45 25 78 99  6 | 87 10 47 11 38  9 97 45 78  1  5 36 99 40 17 35  6 32 37 25 88 52 70 60 55
Card   8: 85 23 69 81  4 25  8 63 22 95 | 48 58 71  4 34 23  6 70 73 16 86 60 63 79 22 69 24 44 62 12 41 25 49 88 90
Card   9: 23 19 99 45 72  9 89 59 25 10 | 83  4 61 68 29 77 25  3 15 85 86 12 51 40 90 53 66 42 32 36 17 11 46 69 38
Card  10:  5  9 60 82 86 90 52 56 32 50 | 88 14 27 30 32 24 99 67 15 83 43  8 56 50 31  7 86 87 53 71 62 91 57 13 90
Card  11: 61 27 70 69 34 32 43 29  2 36 |  1 50 51 87 64 32 59 99 10 89 44 42 94 47 83 35 43 95 66 72 54 60 13 73 22
Card  12: 30 68  3 36 20 39 42 11 63 27 | 56 78 36 46 83 27 74 57 14 19 34  2 43 10 73 54 84 28 90 89 88  8 66 30 44
Card  13: 64 12 76 81 70 43  8 82 96 57 | 76 85 92 75 33 53 55  1 71 46 32 94 17 79  2 54 15 95 96 88 37 50 73 60 10
Card  14: 51 91 90 21 70 63 59 50 75 89 | 35 78 54 60 83 80 20 26 48 32 76  7 57  6  9 56 69 67 77 22 97 68 43 84 18
Card  15: 61 70 41 89 74  2 65 62  4 20 |  4 40 13 72 38 37  8 85 95 42 51 81 33 55 53 31  9 99 71 93 64 30 52 24 27
Card  16:  1 11 75 62  8 34 36 74 58 77 | 51 26 23 67 95 91 21 61 93 31 83 37 64  7 78 48 29 87 96 73 82 22 72 49 33
Card  17: 99 59 38 64 66 61 26 48 78 33 | 27 65 40 46 82 51 34 22 80 55 84 50 53 24 52 92 16 79 39  7 28 89 72 11 23
Card  18: 95 12 55  8 90 51 57  9 18 22 | 90  9 42 57 12 62 81 92 95 18 64  6 55 51 28  4 38 27 89 96 97 22  8 60 83
Card  19: 68 77 32 52 24 94 14  9 22 18 | 66  3 23 26 91 36 19  2 13 41 28 61 29 59 67 65 71 42 93 33 44 37  7 17 95
Card  20: 65 16 79  2  5 80 45 96 58 41 |  1  2 79 92  4 94 88 41 96 72 65 53 57 45 80 20 69 16 50  5  6 84 58 89 14
Card  21: 27 35  6 28 89 36 48 20  4 23 | 85 64 46 59 74 98 26 24  4 23 87 47 58  5  6 28 49 37 62 81 30 99 91 77 63
Card  22: 50 42 75 83 13 66 20 72 89 80 | 71 83 54 13  7 19 75 72 48 89  1 20 29 62 66 85 16 50 65 47 80 32 27 42 14
Card  23: 65 78 31 70 24 68 47 61 19 94 |  3 77 72 28  4 31 98 91 56 48 54 33 69  1 86 81 92 99 65 15 21 70 85 64 40
Card  24: 81 95 60 99 94  9 27 35 10 13 | 45 69 49 29 68 44  7 24 82 53 92 54 83 51 27 28 94 78 47 21 25 38 95 31 79
Card  25: 16 98 19 18 47 51  3  2 55 41 |  1 92 96 86 67 81  7 97 58 57  6 14 22 88 66 99 33 35 53 10 44 69 60 20 79
Card  26: 12 54 88 84 18 33 57  4 30 61 | 85 92 48 31 59 91 69 87 89 14 96  6 37 13 47 46 81 72 98 23 60 55 62 11 77
Card  27: 60 39 61 50 44 73 68 41 56 15 | 46  3 61 81 83 27 19 49 59 67 91 16 57 62 74 98 44 55 21 79 92 12 64 50  7
Card  28: 33 76 66 89  5 19 87 41 39  9 | 47 41 16 21 94 42  4 96 89 76 59 24 46  5 60 64 98 19 38 18 32 53 87 71 63
Card  29: 34  4 51 39 54 96 81 50 56 23 | 98 60 68 16 78 22  8 31 85 89 93 17 44 24 52 43 79 42 90 99 12 58 27 67 71
Card  30: 86 65 92 20 18 42 64 77 83 78 | 76 10 89  8 30 16 39 61 59 68 75 72 96 51 60 85 80 77 25 67  5 92 11 74 83
Card  31: 22 50 59 26 99 94 89 90 33 40 | 26 80 21 35 81 15  4 92 29 95 31 52 63 22 72 25 69 54 13 84 82 16 93 90 11
Card  32: 36 34 73 49 30 66 84 92 13 77 | 37 81 55 96 19 39  9 91 60 59 38 48 44 69 14 61 24 13  5  1 78 87 46 72 89
Card  33: 26 74 95 71 92 43  2 15 29 27 | 13 55 43 94 35 78 42 52 28  4 75  3 83 24 39 34 30  7 54 18 57 11 14 53 80
Card  34:  6 62 69 41 34 33 23 74 84 79 |  1 17 98 35 48 21 71 44 73 37  8 28 61 27 52 94 99 36 25 30 49  3 40 67 95
Card  35: 38 46 60 75 86 79 48 63 15 43 | 97 51 66 61 34 54 21 94 25 65 30 56 91 47 92 17 11 10 95 24 35 82 28  1 20
Card  36: 72 83 92 15 56 57 49 60 24 59 | 19 56 28 57 60 84 22 72 83 49 24 66 61 69 93 15 25 32 92 30 96 59 75 86 95
Card  37: 70  7 95 96 72 38 37 71 54 68 | 43 95 86 81  5 68 12  7 73 78 54 72 96 36 37 22 70 48 79 20 38 71 13 45 18
